Digit,euler,Area,Perimetro,xm,ym,xx,yy,xy,red,green,blue
1,1,983,305,928.5615462868769,60.16378433367243,310.8789689212572,508.5540495648811,89.06672537925624,0.237029501525941,0.19837232960325535,0.022380467955239063
1,1,765,248,752.2065359477124,66.71764705882353,181.64623179123737,395.36079969242564,78.57204152249324,0.1477124183006536,0.12156862745098039,0.1084967320261438
1,1,645,214,352.0837209302326,71.08217054263567,38.603843519013026,599.5544883119992,22.29854696231996,0.18449612403100776,0.16899224806201552,0.16899224806201552
1,1,636,216,202.83490566037736,67.87264150943396,46.43972499110532,509.11428295953556,-2.6263720778460993,0.026729559748427674,0.04245283018867924,0.2672955974842767
1,1,779,239,567.0847240051348,74.58536585365853,81.49217999435496,493.2029180625577,-14.690159366291482,0.025673940949935817,0.3055198973042362,0.1258023106546855
1,1,829,254,928.0675512665863,201.69481302774426,110.43693260429427,593.970793360706,29.468142907659058,0.1700844390832328,0.23401688781664656,0.23401688781664656
1,1,540,174,745.0981481481482,212.67592592592592,7.795922496472485,577.0968278463697,43.95958504799637,0.37592592592592594,0.3907407407407407,0.3907407407407407
1,1,550,161,569.8309090909091,220.55454545454546,16.311408264387865,393.5124793388386,32.28467768593691,0.44545454545454544,0.44545454545454544,0.44545454545454544
1,1,871,269,353.85304247990814,262.0149253731343,80.4583116388385,772.193807083997,29.179001662196242,0.1148105625717566,0.1997703788748565,0.16647531572904709
1,1,857,248,181.8343057176196,274.977829638273,130.33427235927957,444.6867896886106,-12.694455299133551,0.03617269544924154,0.06534422403733955,0.008168028004667444
1,1,511,161,933.8473581213307,349.20156555772996,5.671416699653491,512.1257118347276,32.13839943933999,0.09001956947162426,0.10763209393346379,0.09001956947162426
1,1,1045,294,759.28995215311,381.02775119617223,137.04798516526353,827.8930097754346,62.316355394839775,0.01818181818181818,0.022966507177033493,0.01722488038277512
1,1,963,272,580.7310488058151,400.06853582554515,112.83213046804303,683.3805572538986,-19.247403137240326,0.25752855659397716,0.010384215991692628,0.09968847352024922
1,1,982,281,354.0896130346232,421.5987780040733,130.8982831496687,728.4276156146661,64.26304229698144,0.23116089613034624,0.1955193482688391,0.05295315682281059
1,1,955,285,167.38219895287958,430.54869109947646,164.0518297195813,679.8476291768311,-18.440075655831606,0.10052356020942409,0.1099476439790576,0.09319371727748692
1,1,522,154,945.9080459770115,487.1858237547893,4.32487779087387,446.1053162754397,1.6895010349107906,0.19540229885057472,0.19540229885057472,0.19540229885057472
1,1,630,185,778.6730158730159,494.98571428571427,14.048636936349794,583.3950340136362,48.86993197281845,0.3952380952380952,0.3952380952380952,0.3952380952380952
1,1,1072,288,580.2360074626865,535.2798507462686,140.88926316413563,695.8675790822017,16.68022179219406,0.15671641791044777,0.15578358208955223,0.18936567164179105
1,1,545,160,350.26605504587155,544.451376146789,14.433801868537557,363.24213113368023,29.28724854812026,0.3119266055045872,0.3724770642201835,0.25504587155963304
1,1,523,155,153.54875717017208,567.7112810707457,4.48854052038223,453.081077326322,-10.057624602879514,0.2676864244741874,0.2676864244741874,0.2676864244741874
1,1,426,186,772.2018779342723,669.3286384976526,4.128259384189732,676.2628887566389,37.44773964601336,0.27230046948356806,0.38967136150234744,0.5187793427230047
1,1,1197,314,582.6215538847118,686.3926482873851,292.03806508745765,627.9911907309433,-40.291671115963254,0.07685881370091896,0.03341687552213868,0.1670843776106934
1,1,627,183,932.7575757575758,672.9665071770335,14.400560630252585,525.6751142754802,25.475134116364643,0.08771929824561403,0.0430622009569378,0.0430622009569378
1,1,1004,284,357.01792828685257,713.7081673306773,145.53155108651845,667.5931205457309,18.409614529955434,0.1892430278884462,0.11553784860557768,0.06274900398406374
1,1,984,289,147.95426829268294,734.2184959349594,118.24892487110628,851.2134383880766,28.60145560676756,0.23170731707317074,0.13821138211382114,0.20020325203252032
1,1,768,196,937.7643229166666,815.04296875,11.833779229200445,697.5307057698956,-50.95211283362005,0.15364583333333334,0.15364583333333334,0.15364583333333334
1,1,1030,280,773.2961165048544,835.6407766990292,123.876392685459,729.6107644451549,-44.49848242069129,0.002912621359223301,0.01650485436893204,0.019417475728155338
1,0,825,216,585.2072727272728,832.4448484848485,15.158250137697905,748.9790795224253,16.207188980653882,0.15515151515151515,0.15515151515151515,0.052121212121212124
1,1,1084,289,370.0738007380074,876.6051660516605,167.514848654042,638.7260249723913,-73.50776133220643,0.1429889298892989,0.03782287822878229,0.08118081180811808
1,1,604,182,147.52649006622516,896.274834437086,5.421483706857543,656.8582408666844,-23.426154554617824,0.061258278145695365,0.31788079470198677,0.31125827814569534
1,1,1231,340,935.6125101543461,984.655564581641,294.6727598241996,785.3273431214038,148.28408148279414,0.039805036555645816,0.012185215272136474,0.12347684809098294
1,1,581,158,777.1514629948365,979.4784853700517,12.131964296917431,465.4750104425475,57.22528965130914,0.08950086058519793,0.08950086058519793,0.08950086058519793
1,1,762,190,591.7034120734908,990.6312335958005,24.31361040502088,515.3613866672385,57.68721626338083,0.08792650918635171,0.1889763779527559,0.1889763779527559
1,1,1582,343,370.2187104930468,1037.3116308470292,321.8017232423299,757.4382844450884,-122.34438955318183,0.006321112515802781,0.012010113780025285,0.08849557522123894
1,1,538,155,142.52416356877325,1059.5910780669144,7.855364077331615,422.75099846627563,35.93367283482803,0.24535315985130113,0.17286245353159851,0.32342007434944237
1,1,523,157,953.5315487571702,1147.1491395793498,5.923956874758005,455.6297650341876,-28.387114346027374,0.12810707456978968,0.12810707456978968,0.12810707456978968
1,1,495,150,777.8646464646465,1151.8141414141414,7.6483460870804265,418.29676971724257,38.3041363125667,0.4202020202020202,0.4202020202020202,0.4202020202020202
1,1,559,161,587.5706618962433,1179.0966010733453,8.194917450950015,491.29657163168304,31.656859137001447,0.27191413237924866,0.3613595706618962,0.18783542039355994
1,1,819,190,368.78266178266176,1199.3907203907204,17.911250057804864,602.1892179180868,39.60140198969748,0.1978021978021978,0.07692307692307693,0.04395604395604396
1,1,1424,339,144.50702247191012,1258.810393258427,211.5982652916282,783.2772515306715,-25.314679727947805,0.11657303370786516,0.14747191011235955,0.012640449438202247
1,1,1105,287,950.4733031674208,1300.843438914027,237.59951352351345,545.2759411153384,17.446046559372917,0.2,0.2,0.2
1,1,540,156,762.9833333333333,1309.651851851852,5.446018518530764,471.9010150888935,19.494197530904785,0.3907407407407407,0.32037037037037036,0.32037037037037036
1,1,637,171,598.9968602825745,1332.5368916797488,9.996850424795412,552.0006013275124,50.85568882804364,0.14442700156985872,0.11145996860282574,0.11145996860282574
1,1,573,160,383.4554973821989,1354.0541012216404,12.645925276185153,459.8242981887888,59.790365761262365,0.3769633507853403,0.3769633507853403,0.3769633507853403
1,1,517,150,157.9787234042553,1397.9148936170213,7.1349438248544175,408.70455574290827,30.882135067280615,0.4758220502901354,0.3617021276595745,0.22437137330754353
1,1,979,274,939.5219611848826,1467.417773237998,80.42112138343509,848.2289384528995,-72.44584486703388,0.13585291113381,0.13789581205311544,0.17568947906026558
1,1,942,271,742.8014861995754,1469.712314225053,108.6962610607734,689.9543918846175,-17.137789002154022,0.2664543524416136,0.09341825902335456,0.0074309978768577496
1,1,501,140,601.3273453093813,1478.0319361277445,14.619391954562161,291.9470838760026,22.89772949111648,0.3253493013972056,0.25349301397205587,0.28542914171656686
1,1,640,185,380.6421875,1518.18125,5.257907714869361,645.682773437351,20.082041015615687,0.3390625,0.1828125,0.0375
1,1,1062,275,170.5084745762712,1541.9350282485875,108.97120878418718,839.0588671839796,-7.524402310955338,0.044256120527306965,0.1393596986817326,0.04990583804143126
