Digit,euler,Area,Perimetro,xm,ym,xx,yy,xy,red,green,blue
0,-1,1665,469,117.95615615615615,51.82822822822823,391.375254894534,440.4954193833473,-86.38470831191535,0.0984984984984985,0.024624624624624624,0.00960960960960961
0,-1,1706,558,485.83997655334116,69.89331770222744,375.7065144191438,828.1351605051614,-112.58389464671927,0.13774912075029308,0.00996483001172333,0.00996483001172333
0,1,1423,472,868.2417427969079,71.30639494026704,451.3765569064999,977.6503245298973,-47.82389308464917,0.10470836261419536,0.1510892480674631,0.011243851018973999
0,-1,1522,447,302.58278580814715,63.4796320630749,310.75825820512546,507.5991252259887,-49.639575321907614,0.12746386333771353,0.09986859395532194,0.09724047306176084
0,0,1157,366,674.0172860847018,73.19792566983578,286.71880231489195,680.2469101310353,-55.823646078999445,0.0682800345721694,0.08729472774416594,0.13828867761452032
0,-2,1952,566,378.8063524590164,177.32069672131146,419.91946784296306,650.386907711305,-80.12334868818289,0.008709016393442622,0.12295081967213115,0.1260245901639344
0,-1,1664,490,186.40204326923077,180.0252403846154,314.8077121712049,596.2385456152879,-33.71747945751122,0.1388221153846154,0.11899038461538461,0.06009615384615385
0,-1,1475,489,931.4562711864406,183.5891525423729,400.47046067228075,489.3688314852043,-156.5115251939278,0.1111864406779661,0.09830508474576272,0.025084745762711864
0,-5,1719,516,569.8621291448517,190.7021524141943,415.45103234861745,488.9339744247045,-22.86887136581936,0.08609656777196044,0.1256544502617801,0.12449098312972659
0,-1,1455,457,756.66735395189,189.75807560137457,360.93814385752194,390.74147258534504,-52.123774164239876,0.16494845360824742,0.16219931271477664,0.140893470790378
0,0,1372,440,265.68294460641397,302.71209912536443,409.0051610086084,881.2895620659838,-11.108773236483103,0.17201166180758018,0.13192419825072887,0.1129737609329446
0,0,1110,340,79.08018018018018,293.9198198198198,264.77465221978764,537.8521296972758,9.916338771206938,0.08828828828828829,0.07027027027027027,0.15405405405405406
0,-1,1951,587,478.4674525884162,306.4551512045105,487.32531175771146,762.66213517703,-105.47160322836135,0.01230138390568939,0.10404920553562276,0.09533572526909277
0,0,1329,396,673.04589917231,313.08502633559067,340.17020327353384,691.796382260407,1.3783396490325686,0.1708051166290444,0.18585402558314523,0.18585402558314523
0,0,1244,410,861.032154340836,311.65273311897107,447.7642394102877,609.162363912692,-43.696229360764846,0.06913183279742766,0.16639871382636656,0.005627009646302251
0,0,1250,412,156.3208,420.8008,341.89948736000224,819.7323193600168,-80.27369663999707,0.1984,0.1512,0.04
0,0,1217,396,945.2095316351684,427.7567789646672,343.25026247580536,776.1018952946179,-6.036136923590675,0.1306491372226787,0.19967132292522596,0.09449465899753492
0,0,1177,374,759.7000849617672,427.11809685641464,368.3306117176544,629.0285340160772,-17.620485819643363,0.0790144435004248,0.0790144435004248,0.19541206457094307
0,0,1328,413,557.4118975903615,428.6302710843373,468.7603102545254,707.6230896855704,-63.319095092709176,0.04216867469879518,0.16490963855421686,0.17243975903614459
0,0,1310,418,341.78473282442746,431.2717557251908,347.77198065382254,765.7276755433995,-33.8063854087668,0.1480916030534351,0.03969465648854962,0.15801526717557252
0,-1,1450,446,69.23448275862069,550.0751724137931,306.18915576694417,501.62262497027405,-69.86866111771087,0.07103448275862069,0.06344827586206897,0.08
0,0,1219,398,237.03855619360132,552.5643970467596,409.8746413936824,710.6297742673196,-71.2440743734187,0.12633305988515175,0.14766201804757997,0.06316652994257588
0,-3,2171,628,454.4767388300322,559.1437125748503,460.8676072367525,795.8420827622176,-117.04179756561643,0.010133578995854445,0.0525103638876094,0.06310456011054813
0,0,1385,433,656.6158844765343,560.9148014440433,425.5968595967279,718.6974343468901,-50.781462550046854,0.12057761732851986,0.12779783393501806,0.14512635379061373
0,-1,1929,581,854.8206324520477,566.6298600311042,642.3732186772395,697.0988699130248,-166.84140405867947,0.036288232244686365,0.04769310523587351,0.0844997407983411
0,-1,1675,531,136.62686567164178,673.2877611940298,292.0583827133014,847.4610740922508,-0.30038761415926274,0.0,0.07940298507462687,0.07940298507462687
0,0,1476,475,554.05081300813,675.8922764227642,456.9086646506912,937.7045202921727,9.07390194333857,0.0006775067750677507,0.07113821138211382,0.07113821138211382
0,-3,1816,534,326.8496696035242,677.7692731277533,313.44050649878045,803.8526021147845,-60.758804204902845,0.1393171806167401,0.1211453744493392,0.007158590308370044
0,0,1453,455,749.9463179628356,684.8148657949071,367.12306455674116,928.841843701899,12.579187565017492,0.048864418444597386,0.1534755677907777,0.03785271851342051
0,1,1432,485,949.4483240223464,692.1829608938548,419.726379872649,1085.74445827218,64.56671725283377,0.07402234636871509,0.06564245810055866,0.13687150837988826
0,-1,1705,483,657.8521994134898,782.7472140762463,390.54120484000305,521.5531080744695,-23.833256335929036,0.03225806451612903,0.021700879765395895,0.09149560117302052
0,0,1923,531,445.7561102444098,783.1840873634945,406.7387497163727,575.725862232619,4.603919383022003,0.04940197607904316,0.06760270410816432,0.05096203848153926
0,-4,1854,587,859.1472491909385,796.8953613807982,446.88392716879025,649.5122438553954,-24.1043331483379,0.039913700107874865,0.026429341963322545,0.09277238403451996
0,0,1315,423,71.14676806083651,801.1893536121673,421.53967586635554,777.7322060459992,19.95699981204234,0.033460076045627375,0.04334600760456274,0.04334600760456274
0,0,1249,387,232.2586068855084,807.2273819055245,359.1092633914959,668.1436537540285,2.8018860244192183,0.16813450760608487,0.05684547638110488,0.20256204963971178
0,-2,1839,571,954.5720500271887,906.6672104404568,486.7733569176635,711.3063256060705,-74.97384740796406,0.001087547580206634,0.04404567699836868,0.08210984230560087
0,0,1507,445,747.6642335766423,911.7644326476443,529.4400147245033,825.4182970073307,12.220838035689667,0.099535500995355,0.08891838088918382,0.08294625082946251
0,-1,1643,520,547.1485088253195,920.2105903834449,432.8848227916751,534.0944222320104,-52.34472553472733,0.06086427267194157,0.033475349969567865,0.1351186853317103
0,0,1156,377,336.71107266435985,922.3157439446367,449.124133451478,578.4997867302736,-118.18645460420521,0.014705882352941176,0.17214532871972318,0.2041522491349481
0,-2,1617,473,146.03586889301175,927.1230674087817,346.9684103922118,493.86055014573503,20.233062517188955,0.024737167594310452,0.09523809523809523,0.09523809523809523
0,0,1280,368,430.84921875,1012.55390625,404.3467962646682,575.3142816162435,-44.421168823202606,0.08828125,0.0921875,0.08828125
0,0,1349,418,49.90437361008154,1023.524833209785,346.8292544074875,896.5251431338256,1.6424784907794674,0.09562638991845812,0.007412898443291327,0.007412898443291327
0,0,1533,466,238.66601435094586,1018.6699282452707,293.59099761753896,553.2178628128022,-30.323546469939174,0.13372472276581865,0.13372472276581865,0.1187214611872146
0,-1,1608,491,658.1430348258707,1019.8140547263681,327.92605845147045,577.0555984845851,-74.40064215613529,0.11069651741293532,0.10945273631840796,0.10945273631840796
0,-1,1525,458,858.3455737704918,1022.6091803278689,377.5468082773732,486.0623419509502,-88.19674625108019,0.07672131147540984,0.013114754098360656,0.10885245901639344
0,-1,1772,530,926.6890519187359,1163.8809255079007,355.9693383787526,755.453654222656,-64.45463320845738,0.08295711060948081,0.1010158013544018,0.01805869074492099
0,-1,1606,473,136.17434620174348,1174.4209215442092,342.9658674118946,574.1951787271537,-39.66554049341357,0.0043586550435865505,0.15317559153175592,0.03922789539227895
0,-1,1457,427,322.681537405628,1173.971859986273,268.9226035389438,450.59426647867076,-51.322619743528776,0.045298558682223745,0.03912148249828414,0.002059025394646534
0,-2,1631,481,520.3415082771306,1172.2587369711832,418.8490373326931,458.4198730830103,-40.77996106247883,0.03372164316370325,0.04782342121397915,0.04782342121397915
