Digit,euler,Area,Perimetro,xm,ym,xx,yy,xy,red,green,blue
6,1,1205,418,145.09460580912864,80.55435684647303,408.12382982386407,716.7366718892581,-192.5379225564302,0.13941908713692946,0.11618257261410789,0.12448132780082988
6,0,898,302,687.1770601336303,79.21269487750557,175.98535349516897,456.1474112231581,1.0681308624407393,0.0,0.21492204899777284,0.1915367483296214
6,1,1119,419,495.5933869526363,85.61572832886506,299.79087673229515,626.3492074900905,-78.66116497798794,0.1224307417336908,0.128686327077748,0.1358355674709562
6,1,909,321,315.72607260726073,84.52695269526953,235.16478776589793,554.5463032551879,-48.73244090085791,0.030803080308030802,0.0858085808580858,0.21012101210121012
6,0,1030,354,853.2970873786408,81.84174757281554,248.22241870115977,458.85553869356227,-41.834538599301595,0.040776699029126215,0.05533980582524272,0.18058252427184465
6,1,949,313,60.49104320337197,198.03477344573236,190.89059416989312,563.8101712078933,-41.099267045006854,0.22866174920969443,0.09378292939936776,0.03477344573234984
6,0,1063,344,232.98306679209784,205.01034807149577,209.96772831821,584.7308430585254,-54.59248705053324,0.22671683913452492,0.06114769520225776,0.23047977422389465
6,1,880,308,395.8840909090909,208.52613636363637,246.38429235536023,439.7265896177705,-175.74242510330805,0.15681818181818183,0.03068181818181818,0.04431818181818182
6,0,1149,387,600.0443864229765,215.67188859878155,280.63771652959986,575.7957371642697,-85.42930053830787,0.12706701479547433,0.08703220191470844,0.08703220191470844
6,0,937,355,787.6691568836712,214.9957310565635,270.5180775176268,358.7342400471971,-35.07184991723625,0.022411953041622197,0.1664887940234792,0.18036286019210246
6,0,905,319,139.20883977900553,284.1988950276243,193.79395500747705,356.03778883429186,-52.57744879582606,0.04419889502762431,0.011049723756906077,0.2011049723756906
6,0,1281,413,310.30444964871197,318.288056206089,317.3624236041942,691.6617543012981,8.995829882609542,0.15066354410616706,0.13505074160811867,0.00234192037470726
6,0,1354,446,498.27769571639584,321.1447562776957,353.5373607169022,833.1858403024962,-27.13990277724224,0.06277695716395865,0.12186115214180207,0.0258493353028065
6,1,1109,370,920.3336339044184,313.39495040577094,297.699328634073,467.2398662960186,-9.771985257102642,0.151487826871055,0.06762849413886383,0.018034265103697024
